波長(nm),透過率(%)
400,0.2
401,0.4
402,0.6
403,0.8
404,1
405,1.2
406,1.4
407,1.6
408,1.8
409,2
410,2.2
411,2.4
412,2.6
413,2.8
414,3
415,3.2
416,3.4
417,3.6
418,3.8
419,4
420,4.2
421,4.4
422,4.6
423,4.8
424,5
425,5.2
426,5.4
427,5.6
428,5.8
429,6
430,6.2
431,6.4
432,6.6
433,6.8
434,7
435,7.2
436,7.4
437,7.6
438,7.8
439,8
440,8.2
441,8.4
442,8.6
443,8.8
444,9
445,9.2
446,9.4
447,9.6
448,9.8
449,10
450,10.2
451,10.4
452,10.6
453,10.8
454,11
455,11.2
456,11.4
457,11.6
458,11.8
459,12
460,12.2
461,12.4
462,12.6
463,12.8
464,13
465,13.2
466,13.4
467,13.6
468,13.8
469,14
470,14.2
471,14.4
472,14.6
473,14.8
474,15
475,15.2
476,15.4
477,15.6
478,15.8
479,16
480,16.2
481,16.4
482,16.6
483,16.8
484,17
485,17.2
486,17.4
487,17.6
488,17.8
489,18
490,18.2
491,18.4
492,18.6
493,18.8
494,19
495,19.2
496,19.4
497,19.6
498,19.8
499,20
500,20.2
501,20.4
502,20.6
503,20.8
504,21
505,21.2
506,21.4
507,21.6
508,21.8
509,22
510,22.2
511,22.4
512,22.6
513,22.8
514,23
515,23.2
516,23.4
517,23.6
518,23.8
519,24
520,24.2
521,24.4
522,24.6
523,24.8
524,25
525,25.2
526,25.4
527,25.6
528,25.8
529,26
530,26.2
531,26.4
532,26.6
533,26.8
534,27
535,27.2
536,27.4
537,27.6
538,27.8
539,28
540,28.2
541,28.4
542,28.6
543,28.8
544,29
545,29.2
546,29.4
547,29.6
548,29.8
549,30
550,30.2
551,30.4
552,30.6
553,30.8
554,31
555,31.2
556,31.4
557,31.6
558,31.8
559,32
560,32.2
561,32.4
562,32.6
563,32.8
564,33
565,33.2
566,33.4
567,33.6
568,33.8
569,34
570,34.2
571,34.4
572,34.6
573,34.8
574,35
575,35.2
576,35.4
577,35.6
578,35.8
579,36
580,36.2
581,36.4
582,36.6
583,36.8
584,37
585,37.2
586,37.4
587,37.6
588,37.8
589,38
590,38.2
591,38.4
592,38.6
593,38.8
594,39
595,39.2
596,39.4
597,39.6
598,39.8
599,40
600,40.2
601,40.4
602,40.6
603,40.8
604,41
605,41.2
606,41.4
607,41.6
608,41.8
609,42
610,42.2
611,42.4
612,42.6
613,42.8
614,43
615,43.2
616,43.4
617,43.6
618,43.8
619,44
620,44.2
621,44.4
622,44.6
623,44.8
624,45
625,45.2
626,45.4
627,45.6
628,45.8
629,46
630,46.2
631,46.4
632,46.6
633,46.8
634,47
635,47.2
636,47.4
637,47.6
638,47.8
639,48
640,48.2
641,48.4
642,48.6
643,48.8
644,49
645,49.2
646,49.4
647,49.6
648,49.8
649,50
650,50.2
651,50.4
652,50.6
653,50.8
654,51
655,51.2
656,51.4
657,51.6
658,51.8
659,52
660,52.2
661,52.4
662,52.6
663,52.8
664,53
665,53.2
666,53.4
667,53.6
668,53.8
669,54
670,54.2
671,54.4
672,54.6
673,54.8
674,55
675,55.2
676,55.4
677,55.6
678,55.8
679,56
680,56.2
681,56.4
682,56.6
683,56.8
684,57
685,57.2
686,57.4
687,57.6
688,57.8
689,58
690,58.2
691,58.4
692,58.6
693,58.8
694,59
695,59.2
696,59.4
697,59.6
698,59.8
699,60
700,60.2
