波長(nm),透過率(%)
400,0.1
401,0.2
402,0.3
403,0.4
404,0.5
405,0.6
406,0.7
407,0.8
408,0.9
409,1
410,1.1
411,1.2
412,1.3
413,1.4
414,1.5
415,1.6
416,1.7
417,1.8
418,1.9
419,2
420,2.1
421,2.2
422,2.3
423,2.4
424,2.5
425,2.6
426,2.7
427,2.8
428,2.9
429,3
430,3.1
431,3.2
432,3.3
433,3.4
434,3.5
435,3.6
436,3.7
437,3.8
438,3.9
439,4
440,4.1
441,4.2
442,4.3
443,4.4
444,4.5
445,4.6
446,4.7
447,4.8
448,4.9
449,5
450,5.1
451,5.2
452,5.3
453,5.4
454,5.5
455,5.6
456,5.7
457,5.8
458,5.9
459,6
460,6.1
461,6.2
462,6.3
463,6.4
464,6.5
465,6.6
466,6.7
467,6.8
468,6.9
469,7
470,7.1
471,7.2
472,7.3
473,7.4
474,7.5
475,7.6
476,7.7
477,7.8
478,7.9
479,8
480,8.1
481,8.2
482,8.3
483,8.4
484,8.5
485,8.6
486,8.7
487,8.8
488,8.9
489,9
490,9.1
491,9.2
492,9.3
493,9.4
494,9.5
495,9.6
496,9.7
497,9.8
498,9.9
499,10
500,10.1
501,10.2
502,10.3
503,10.4
504,10.5
505,10.6
506,10.7
507,10.8
508,10.9
509,11
510,11.1
511,11.2
512,11.3
513,11.4
514,11.5
515,11.6
516,11.7
517,11.8
518,11.9
519,12
520,12.1
521,12.2
522,12.3
523,12.4
524,12.5
525,12.6
526,12.7
527,12.8
528,12.9
529,13
530,13.1
531,13.2
532,13.3
533,13.4
534,13.5
535,13.6
536,13.7
537,13.8
538,13.9
539,14
540,14.1
541,14.2
542,14.3
543,14.4
544,14.5
545,14.6
546,14.7
547,14.8
548,14.9
549,15
550,15.1
551,15.2
552,15.3
553,15.4
554,15.5
555,15.6
556,15.7
557,15.8
558,15.9
559,16
560,16.1
561,16.2
562,16.3
563,16.4
564,16.5
565,16.6
566,16.7
567,16.8
568,16.9
569,17
570,17.1
571,17.2
572,17.3
573,17.4
574,17.5
575,17.6
576,17.7
577,17.8
578,17.9
579,18
580,18.1
581,18.2
582,18.3
583,18.4
584,18.5
585,18.6
586,18.7
587,18.8
588,18.9
589,19
590,19.1
591,19.2
592,19.3
593,19.4
594,19.5
595,19.6
596,19.7
597,19.8
598,19.9
599,20
600,20.1
601,20.2
602,20.3
603,20.4
604,20.5
605,20.6
606,20.7
607,20.8
608,20.9
609,21
610,21.1
611,21.2
612,21.3
613,21.4
614,21.5
615,21.6
616,21.7
617,21.8
618,21.9
619,22
620,22.1
621,22.2
622,22.3
623,22.4
624,22.5
625,22.6
626,22.7
627,22.8
628,22.9
629,23
630,23.1
631,23.2
632,23.3
633,23.4
634,23.5
635,23.6
636,23.7
637,23.8
638,23.9
639,24
640,24.1
641,24.2
642,24.3
643,24.4
644,24.5
645,24.6
646,24.7
647,24.8
648,24.9
649,25
650,25.1
651,25.2
652,25.3
653,25.4
654,25.5
655,25.6
656,25.7
657,25.8
658,25.9
659,26
660,26.1
661,26.2
662,26.3
663,26.4
664,26.5
665,26.6
666,26.7
667,26.8
668,26.9
669,27
670,27.1
671,27.2
672,27.3
673,27.4
674,27.5
675,27.6
676,27.7
677,27.8
678,27.9
679,28
680,28.1
681,28.2
682,28.3
683,28.4
684,28.5
685,28.6
686,28.7
687,28.8
688,28.9
689,29
690,29.1
691,29.2
692,29.3
693,29.4
694,29.5
695,29.6
696,29.7
697,29.8
698,29.9
699,30
700,30.1
